                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7657,                 6.3663,                 4.7825,                 2.6277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.7573,                 5.5081,                 4.7673,                 2.6539,               4.35e-05,               4.35e-05,               4.35e-05
                      2,                 3.1744,                 5.1993,                 4.7011,                 2.3591,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4412,                 5.4779,                 4.6853,                 2.5458,             9.1169e-05,             9.1169e-05,             9.1169e-05
                      3,                 2.8071,                 4.9032,                 4.6325,                 2.1263,                0.01408,                0.08034,                0.03206,                0.01198,                0.00885,                0.05262,                0.02008,                0.00649,                 3.2661,                 5.2701,                 4.5863,                 2.4756,             0.00013865,             0.00013865,             0.00013865
                      4,                 2.5115,                 4.7404,                  4.529,                 1.9605,                0.02103,                0.07512,                0.04336,                0.01725,                 0.0023,                0.05203,                0.02933,                 0.0108,                 3.1119,                 5.2267,                 4.5481,                 2.3949,             0.00018594,             0.00018594,             0.00018594
                      5,                 2.2656,                 4.6128,                 4.3825,                 1.8093,                 0.0104,                0.10892,                0.04144,                0.01086,                0.00344,                0.06542,                0.02913,                0.00711,                 3.0372,                 5.1571,                 4.4824,                 2.3294,             0.00023304,             0.00023304,             0.00023304
                      6,                 2.0791,                 4.4878,                 4.1902,                 1.6661,                 0.0092,                0.10857,                0.03002,                0.00727,                0.00488,                0.07422,                0.02174,                0.00541,                 2.8759,                 5.0373,                  4.415,                 2.1445,             0.00027995,             0.00027995,             0.00027995
                      7,                 1.9797,                 4.4357,                 3.9978,                 1.5971,                0.01239,                0.12257,                0.03798,                0.01165,                 0.0065,                0.07659,                0.02669,                0.00782,                 2.7179,                 4.9731,                 4.3501,                   2.03,             0.00032667,             0.00032667,             0.00032667
                      8,                 1.8537,                 4.2811,                 3.7348,                  1.505,                0.05093,                0.12099,                0.07703,                0.03352,                0.03496,                0.07978,                0.05292,                 0.0211,                 2.5387,                 4.7089,                  4.251,                 1.9005,              0.0003732,              0.0003732,              0.0003732
                      9,                  1.833,                  4.207,                 3.6191,                 1.4894,                0.03815,                 0.1393,                0.08364,                0.03744,                0.02344,                0.09071,                0.05505,                0.02335,                 2.4334,                 4.6505,                 4.1696,                 1.8193,             0.00041955,             0.00041955,             0.00041955
                     10,                 1.8338,                 4.1221,                 3.3927,                 1.4511,                0.03325,                0.16452,                0.09373,                 0.0509,                 0.0197,                 0.1043,                0.05968,                0.02969,                 2.4074,                 4.5774,                 4.0293,                 1.7272,             0.00042725,             0.00042725,             0.00042725
                     11,                 1.7861,                 4.0527,                 3.1967,                 1.4489,                 0.0308,                0.17581,                0.09001,                 0.0458,                0.02124,                 0.1127,                0.05933,                0.02532,                 2.3631,                 4.5235,                 3.7958,                 1.6607,             0.00042639,             0.00042639,             0.00042639
                     12,                 1.8032,                 3.9697,                 3.1132,                 1.4357,                0.68094,                0.07919,                 0.1034,                0.05237,                0.66151,                0.07046,                0.07518,                0.03641,                 2.3001,                   4.48,                 3.5031,                 1.6393,             0.00042553,             0.00042553,             0.00042553
                     13,                 1.7896,                 3.9366,                 2.9483,                  1.436,                0.75059,                0.08819,                0.10378,                0.05125,                0.73007,                0.06933,                0.07461,                0.02927,                 2.3032,                 4.4705,                 3.3868,                  1.653,             0.00042466,             0.00042466,             0.00042466
                     14,                 1.7715,                 3.8573,                 2.8181,                 1.4233,                0.74053,                0.08938,                  0.114,                0.05673,                0.72242,                0.06804,                0.08263,                0.03201,                 2.2795,                 4.4017,                 3.2505,                 1.6233,              0.0004238,              0.0004238,              0.0004238
                     15,                 1.7752,                 3.8526,                 2.6851,                 1.4377,                0.69854,                0.09512,                0.11239,                0.05986,                0.68617,                0.08011,                0.08498,                0.03728,                 2.2731,                 4.3835,                 3.1783,                 1.6134,             0.00042294,             0.00042294,             0.00042294
                     16,                 1.7639,                 3.7828,                 2.5697,                 1.4356,                0.74037,                0.10198,                0.11636,                0.06403,                0.71481,                0.08724,                0.09025,                0.04165,                 2.2308,                 4.3287,                 3.0419,                 1.5957,             0.00042208,             0.00042208,             0.00042208
